user,avg_daily_device_connections,first_use_date,late_hour_device_use,missing_disconnects,distinct_pcs_used,above_avg_daily_counter,ratio_of_above_avg_days,emails_sent_per_day,unique_recipients_count,external_emails_ratio,attachment_count_avg,emails_sent_off_hours,bcc_usage_rate,total_files_copied,active_days,avg_files_copied_per_day,filetype_doc,filetype_exe,filetype_jpg,filetype_pdf,filetype_txt,filetype_zip,after_hours_file_copy_ratio,avg_urls_per_day,avg_malicious_urls_per_day,total_malicious_urls,avg_distinct_domains_per_day,avg_after_hours_browsing_per_day,avg_logon_time_hours,avg_logoff_time_hours,logon_std_dev_hours,after_hours_logons,weekend_logons,logons_on_other_user_pcs,potential_threat,malicious
HDS0367,4.0,04-01-2010 23:34,702,6,613,67,0.196480938,10.54069767,632,0.499497319,0.762272477,0,0.0,3406,318,10.71069182,2167,24,171,684,178,182,0.495889607,107.1666667,2.888888889,26,35.08333333,0.0,11.48918513,13.3852025,6.874336968,741,0,1034,False,0
RHL0992,2.215568862,04-01-2010 09:34,63,5,1,16,0.095808383,8.948863636,313,0.379454132,0.587936508,330,0.0,370,117,3.162393162,239,2,21,67,24,17,0.183783784,88.08333333,5.833333333,70,27.33333333,19.45454545,11.39093977,21.02823467,2.520596161,2,0,7,True,1
GCR0554,0.0,0,0,0,0,0,0.0,8.71884058,482,0.335571836,0.43849734,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,90.16666667,0.0,0,24.75,0.0,7.998603083,18.00809249,0.131014158,0,0,0,False,0
HTH0007,0.0,0,0,0,0,0,0.0,26.34682081,1172,0.421670758,0.15993857,0,0.499232119,0,0,0.0,0,0,0,0,0,0,0.0,273.25,0.0,0,36.33333333,0.0,8.933317926,16.01338202,2.358841508,0,0,2,False,0
ESA0642,0.0,0,0,0,0,0,0.0,2.918604651,254,0.506699147,0.0,193,0.0,0,0,0.0,0,0,0,0,0,0,0.0,27.91666667,3.0,27,16.58333333,5.545454545,9.252360308,21.25293834,0.140679455,0,0,0,False,0
ZJE0857,0.0,0,0,0,0,0,0.0,14.65027322,813,0.449766754,0.165423349,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,153.7142857,15.0,195,42.64285714,0.0,8.002289369,17.42836443,1.333314773,0,17,26,False,0
GZB0469,0.0,0,0,0,0,0,0.0,1.0,150,0.277879342,0.416167665,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,9.416666667,1.5,3,7.666666667,0.0,7.946820809,18.03121387,0.098218472,0,0,0,False,0
CAB0614,1.520661157,04-01-2010 10:30,0,3,1,23,0.095041322,15.46376812,826,0.479183301,0.61180881,0,0.743767573,931,203,4.586206897,601,9,52,181,47,41,0.0,151.4166667,5.636363636,62,36.16666667,0.0,10.11688227,16.03237094,2.511467943,0,0,78,False,0
CCA0046,3.79,04-01-2010 06:01,394,5,430,34,0.17,10.73134328,397,0.303626652,0.552155772,0,0.726935559,1678,177,9.480225989,1071,15,85,306,94,107,0.591775924,108.25,13.25,159,21.33333333,0.0,11.07341763,13.23773563,7.443347919,421,0,601,True,1
MKG0711,0.0,0,0,0,0,0,0.0,1.0,143,0.447602131,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,9.416666667,1.7,17,7.833333333,0.0,7.724277456,16.77360308,0.117672851,0,0,0,False,0
SOB0360,0.0,0,0,0,0,0,0.0,10.77876106,439,0.463408583,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,107.5,2.5,5,32.08333333,0.0,11.11148814,13.2853789,7.334473512,464,0,664,False,0
BQS0525,8.020408163,02-01-2010 09:22,0,4,1,18,0.367346939,2.897959184,87,0.376569038,0.535211268,0,0.0,57,22,2.590909091,37,0,4,14,1,1,0.0,25.83333333,1.285714286,9,15.0,0.0,9.547182539,16.6462996,1.815417627,0,16,7,False,0
JCC0225,0.0,0,0,0,0,0,0.0,10.74782609,636,0.437540453,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,108.4166667,11.66666667,140,36.91666667,0.0,11.17245556,13.34483434,7.402573606,705,0,1029,False,0
SER0165,0.0,0,0,0,0,0,0.0,10.72173913,573,0.347236015,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,107.4166667,0.0,0,26.33333333,0.0,7.498795761,18.51237958,0.134425459,0,0,0,False,0
CAM0102,0.0,0,0,0,0,0,0.0,8.780346821,519,0.361094225,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,89.75,1.571428571,11,29.16666667,0.0,7.194219653,17.29773603,0.093390172,0,0,0,False,0
KWE0082,2.206153846,04-01-2010 13:27,0,10,1,31,0.095384615,8.802325581,543,0.493947212,0.623844122,0,0.500330251,2234,318,7.025157233,1435,14,108,437,116,124,0.0,90.83333333,2.142857143,15,35.58333333,0.0,9.973907676,17.04990366,2.388807068,0,0,0,False,0
HRL0540,8.627906977,04-01-2010 12:05,592,12,1,6,0.01744186,8.686046512,553,0.475087144,0.575970549,779,0.504350736,1777,318,5.588050314,1165,12,88,339,77,96,0.222847496,93.16666667,4.3,43,27.08333333,21.27272727,11.55016675,21.1452643,2.808307699,15,0,25,True,0
JGT0221,2.0,15-07-2010 15:17,0,0,2,0,0.0,10.67647059,290,0.49539749,0.405647383,0,0.0,1,1,1.0,0,1,0,0,0,0,0.0,108.0,11.09090909,122,40.41666667,0.0,11.2053759,13.23714211,7.466756856,310,0,447,False,1
