user,avg_daily_device_connections,first_use_date,late_hour_device_use,missing_disconnects,distinct_pcs_used,above_avg_daily_counter,ratio_of_above_avg_days,emails_sent_per_day,unique_recipients_count,external_emails_ratio,attachment_count_avg,emails_sent_off_hours,bcc_usage_rate,total_files_copied,active_days,avg_files_copied_per_day,filetype_doc,filetype_exe,filetype_jpg,filetype_pdf,filetype_txt,filetype_zip,after_hours_file_copy_ratio,avg_urls_per_day,avg_malicious_urls_per_day,total_malicious_urls,avg_distinct_domains_per_day,avg_after_hours_browsing_per_day,avg_logon_time_hours,avg_logoff_time_hours,logon_std_dev_hours,after_hours_logons,weekend_logons,logons_on_other_user_pcs,malicious
ABC0174,2.276595744680851,2010-01-02 14:05:23,0.0,8.0,1.0,27.0,0.0957446808510638,14.418367346938776,682,0.4946543121881682,0.2314225053078556,0,0.7405048360462373,589.0,187.0,3.149732620320856,377.0,3.0,24.0,115.0,34.0,36.0,0.0,154.8,12.714285714285714,178.0,43.4,0.0,9.777576610277778,15.804335585555556,2.4160729875,0.0,83.0,0.0,1
AHM0410,1.5390625,2010-01-04 12:44:53,0.0,6.0,1.0,22.0,0.0859375,8.726495726495726,546,0.2980368828078524,0.6304276852758733,0,0.5014691478942214,2198.0,255.0,8.619607843137254,1416.0,7.0,107.0,441.0,104.0,123.0,0.0,89.41666666666667,0.0,0.0,19.75,0.0,10.478365517222224,17.06998605027778,2.881006925,0.0,6.0,105.0,0
AMR0318,1.247787610619469,2010-01-11 08:39:08,2.0,1.0,1.0,27.0,0.2389380530973451,14.375722543352602,736,0.2784386617100371,0.2024527543224769,0,0.0,230.0,74.0,3.108108108108108,139.0,4.0,12.0,43.0,16.0,16.0,0.0,154.08333333333334,12.727272727272728,140.0,33.5,54.5,9.859063095833331,15.217945788333331,2.948387538611111,19.0,2.0,0.0,0
ANM0123,1.5263157894736843,2010-01-04 10:11:24,0.0,1.0,1.0,2.0,0.1052631578947368,10.8,77,0.535632183908046,0.6814814814814815,15,0.4962962962962963,47.0,12.0,3.9166666666666665,31.0,0.0,2.0,11.0,1.0,2.0,0.0,106.33333333333331,5.666666666666667,68.0,31.916666666666668,6.444444444444445,10.799483333333333,18.420225694444444,3.1642562025000003,0.0,0.0,7.0,0
AVM0947,8.664739884393063,2010-01-04 07:08:35,0.0,12.0,1.0,3.0,0.0086705202312138,1.0,136,0.3106457242582897,0.2195845697329377,0,0.0,7701.0,346.0,22.25722543352601,4901.0,57.0,432.0,1520.0,388.0,403.0,0.0,8.5,1.5714285714285714,11.0,6.333333333333333,0.0,7.347648148055556,15.712286666666667,0.8368398747222222,0.0,0.0,29.0,0
BAL0044,3.294460641399417,2010-01-04 05:08:11,685.0,2.0,607.0,80.0,0.2332361516034985,10.744186046511627,579,0.4456539666831601,0.6542207792207793,0,0.4951298701298701,2900.0,288.0,10.069444444444445,1870.0,20.0,132.0,547.0,173.0,158.0,0.576551724137931,112.16666666666669,9.75,117.0,34.25,0.0,11.252110883333332,13.105895576944445,6.797128906944445,741.0,2.0,1066.0,0
BBS0422,1.232,2010-01-06 14:31:52,1.0,3.0,1.0,28.0,0.224,8.827848101265824,557,0.3216538192011212,0.5511901347863493,27,0.4921135646687697,499.0,105.0,4.752380952380952,321.0,4.0,33.0,92.0,28.0,21.0,0.002004008016032,90.28571428571428,5.0,5.0,26.928571428571427,0.0,8.6889547075,16.077466532777777,3.910334714722222,68.0,69.0,30.0,0
BDI0533,2.1900237529691213,2010-01-03 09:04:28,0.0,4.0,1.0,36.0,0.0855106888361045,2.912751677852349,289,0.4677268475210477,0.5422427035330261,0,0.7296466973886329,2458.0,400.0,6.145,1605.0,14.0,117.0,483.0,115.0,124.0,0.0,28.3125,1.4,14.0,19.375,0.0,11.06234467638889,16.504538113611112,2.4062230130555555,0.0,187.0,65.0,0
BLS0678,1.3333333333333333,2010-09-17 21:54:58,3.0,0.0,1.0,1.0,0.3333333333333333,8.645,331,0.4498416050686378,0.6761133603238867,0,0.0,5.0,1.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,89.41666666666667,1.6666666666666667,5.0,31.166666666666668,0.0,10.090935033333333,15.874720866944443,2.5973277025,3.0,0.0,0.0,1
BMG0917,8.615606936416185,2010-01-04 08:29:18,105.0,7.0,1.0,2.0,0.0057803468208092,8.808695652173913,548,0.3162376237623762,0.203027311615663,238,0.0,7692.0,346.0,22.23121387283237,4913.0,63.0,383.0,1536.0,409.0,388.0,0.0464118564742589,94.41666666666669,2.333333333333333,7.0,30.75,8.6,10.471543886944444,18.8100030275,2.8437168294444444,18.0,3.0,0.0,0
